date,name,value
2016-01,mozilla,714
2016-01,intel,156
2016-01,qualcomm,399
2016-01,debian,628
2016-01,dell,411
2016-01,microfocus,182
2016-01,talos,76
2016-01,hpe,114
2016-01,nvidia,67
2016-01,huawei,96
2016-01,trellix,57
2016-01,symantec,196
2016-01,lenovo,50
2016-01,apache,55
2016-01,VulDB,348
2016-01,f5,27
2016-01,hp,714
2016-01,juniper,24
2016-01,canonical,231
2016-01,rapid7,17
2016-01,elastic,16
2016-01,isc,16
2016-01,fortinet,15
2016-01,vmware,33
2016-01,checkpoint,10
2016-01,larry_cashdollar,25
2016-01,siemens,12
2016-01,yandex,10
2016-01,krcert,10
2016-01,brocade,8
2016-01,puppet,7
2016-01,obdev,5
2016-01,blackberry,5
2016-01,marklogic,5
2016-01,Wordfence,6
2016-01,synology,7
2016-01,openssl,2
2016-01,tibco,2
2016-01,zdi,2
2016-01,netapp,1
2016-01,Go,4
2016-01,flexera,448
2017-01,mitre,61998
2017-01,intel,1252
2017-01,oracle,4252
2017-01,ibm,3014
2017-01,microsoft,4364
2017-01,google_android,1559
2017-01,apple,3242
2017-01,cisco,2834
2017-01,adobe,2390
2017-01,qualcomm,818
2017-01,redhat,8720
2017-01,huawei,496
2017-01,talos,455
2017-01,hackerone,509
2017-01,jpcert,1201
2017-01,icscert,1029
2017-01,Chrome,1392
2017-01,hpe,316
2017-01,mozilla,907
2017-01,VulDB,519
2017-01,apache,221
2017-01,dell,571
2017-01,zdi,110
2017-01,nvidia,165
2017-01,certcc,3046
2017-01,microfocus,276
2017-01,debian,707
2017-01,atlassian,74
2017-01,juniper,97
2017-01,vmware,89
2017-01,f5,82
2017-01,synology,56
2017-01,lenovo,97
2017-01,fortinet,57
2017-01,trendmicro,40
2017-01,siemens,48
2017-01,rapid7,51
2017-01,larry_cashdollar,59
2017-01,schneider,30
2017-01,elastic,46
2017-01,symantec,226
2017-01,forcepoint,25
2017-01,qnap,23
2017-01,openssl,22
2017-01,drupal,17
2017-01,flexera,463
2017-01,isc,31
2017-01,trellix,72
2017-01,netapp,13
2017-01,hp,726
2017-01,sap,12
2017-01,puppet,18
2017-01,blackberry,16
2017-01,freebsd,52
2017-01,tibco,12
2017-01,netflix,10
2017-01,eclipse,10
2017-01,zte,10
2017-01,airbus,13
2017-01,marklogic,15
2017-01,zephyr,10
2017-01,Kaspersky,9
2017-01,dahua,7
2017-01,tenable,7
2017-01,checkpoint,17
2017-01,brocade,14
2017-01,duo,5
2017-01,Axis,5
2017-01,canonical,236
2017-01,fedora,5
2017-01,joshbressers,5
2017-01,obdev,10
2017-01,kubernetes,3
2017-01,Wordfence,9
2017-01,yandex,13
2017-01,nodejs,2
2017-01,HCL,2
2017-01,ca,3
2017-01,netgear,1
2017-01,dwf,1
2017-01,Vaadin,1
2017-01,WPScan,6
2017-01,CERTVDE,2
2017-01,INCIBE,1
2017-01,Go,5
2018-01,mitre,70113
2018-01,ibm,3853
2018-01,oracle,4971
2018-01,microsoft,5065
2018-01,adobe,2896
2018-01,cisco,3321
2018-01,qualcomm,1291
2018-01,apple,3612
2018-01,redhat,9076
2018-01,icscert,1335
2018-01,zdi,393
2018-01,talos,723
2018-01,jpcert,1447
2018-01,google_android,1804
2018-01,Chrome,1624
2018-01,dell,771
2018-01,apache,396
2018-01,mozilla,1077
2018-01,intel,1399
2018-01,sap,144
2018-01,hackerone,627
2018-01,schneider,146
2018-01,microfocus,376
2018-01,hpe,416
2018-01,siemens,148
2018-01,f5,172
2018-01,huawei,585
2018-01,vmware,163
2018-01,trendmicro,103
2018-01,VulDB,579
2018-01,juniper,157
2018-01,Kaspersky,62
2018-01,tenable,57
2018-01,lenovo,147
2018-01,certcc,3093
2018-01,atlassian,117
2018-01,synology,98
2018-01,qnap,63
2018-01,debian,747
2018-01,trellix,105
2018-01,tibco,42
2018-01,symantec,256
2018-01,fortinet,87
2018-01,ca,31
2018-01,nvidia,192
2018-01,checkpoint,42
2018-01,palo_alto,25
2018-01,elastic,71
2018-01,flexera,488
2018-01,cspcert,25
2018-01,hillstone,20
2018-01,freebsd,72
2018-01,netapp,33
2018-01,eclipse,30
2018-01,avaya,20
2018-01,facebook,19
2018-01,brocade,31
2018-01,puppet,34
2018-01,isc,46
2018-01,larry_cashdollar,74
2018-01,nodejs,16
2018-01,zte,24
2018-01,canonical,249
2018-01,openssl,32
2018-01,krcert,20
2018-01,snyk,10
2018-01,forcepoint,35
2018-01,odoo,9
2018-01,kubernetes,9
2018-01,rapid7,57
2018-01,hp,732
2018-01,yandex,18
2018-01,mongodb,5
2018-01,dahua,12
2018-01,blackberry,21
2018-01,CERTVDE,6
2018-01,airbus,16
2018-01,drupal,20
2018-01,sonicwall,2
2018-01,WPScan,8
2018-01,hikvision,2
2018-01,naver,2
2018-01,obdev,11
2018-01,Go,6
2018-01,netgear,2
2018-01,Vaadin,2
2018-01,360ST,1
2018-01,Checkmarx,1
2018-01,duo,6
2018-01,Wordfence,10
2018-01,Tcpdump,1
2018-01,fedora,6
2018-01,twcert,1
2019-01,mitre,76862
2019-01,microsoft,6063
2019-01,ibm,4552
2019-01,adobe,3515
2019-01,cisco,3919
2019-01,oracle,5569
2019-01,google_android,2284
2019-01,qualcomm,1771
2019-01,apple,4002
2019-01,jenkins,339
2019-01,redhat,9402
2019-01,intel,1709
2019-01,Chrome,1860
2019-01,hpe,613
2019-01,talos,912
2019-01,icscert,1523
2019-01,dwf,174
2019-01,juniper,321
2019-01,siemens,305
2019-01,mozilla,1223
2019-01,apache,530
2019-01,GitHub_M,132
2019-01,hackerone,754
2019-01,sap,265
2019-01,jpcert,1567
2019-01,dell,881
2019-01,f5,282
2019-01,huawei,689
2019-01,tenable,151
2019-01,zdi,480
2019-01,atlassian,202
2019-01,vmware,235
2019-01,snyk,77
2019-01,trellix,163
2019-01,lenovo,200
2019-01,schneider,198
2019-01,pivotal,50
2019-01,nvidia,242
2019-01,fortinet,134
2019-01,microfocus,423
2019-01,rapid7,103
2019-01,Kaspersky,108
2019-01,facebook,59
2019-01,netapp,73
2019-01,certcc,3132
2019-01,krcert,58
2019-01,VulDB,615
2019-01,palo_alto,60
2019-01,freebsd,107
2019-01,symantec,290
2019-01,hp,764
2019-01,trendmicro,135
2019-01,eclipse,60
2019-01,tibco,72
2019-01,suse,30
2019-01,openssl,62
2019-01,twcert,28
2019-01,ABB,26
2019-01,kubernetes,34
2019-01,Wordfence,35
2019-01,zte,47
2019-01,canonical,272
2019-01,isc,66
2019-01,avaya,39
2019-01,php,17
2019-01,sonicwall,17
2019-01,debian,762
2019-01,elastic,85
2019-01,checkpoint,54
2019-01,Bitdefender,11
2019-01,ca,42
2019-01,qnap,74
2019-01,HCL,13
2019-01,zephyr,20
2019-01,mongodb,15
2019-01,brocade,41
2019-01,autodesk,9
2019-01,floragunn,9
2019-01,bosch,9
2019-01,Document Fdn.,9
2019-01,synology,107
2019-01,forcepoint,43
2019-01,dahua,19
2019-01,odoo,16
2019-01,airbus,22
2019-01,larry_cashdollar,80
2019-01,drupal,25
2019-01,jci,5
2019-01,flexera,492
2019-01,blackberry,24
2019-01,yandex,21
2019-01,Linux,3
2019-01,nodejs,18
2019-01,Vaadin,4
2019-01,obdev,13
2019-01,Salesforce,2
2019-01,Go,8
2019-01,naver,4
2019-01,puppet,36
2019-01,360ST,3
2019-01,OpenText,1
2019-01,netflix,11
2019-01,WPScan,9
2019-01,Opera,1
2019-01,CERTVDE,7
2020-01,mitre,84303
2020-01,microsoft,7317
2020-01,oracle,6379
2020-01,ibm,5288
2020-01,qualcomm,2352
2020-01,GitHub_M,667
2020-01,google_android,2814
2020-01,redhat,9931
2020-01,cisco,4430
2020-01,apple,4411
2020-01,icscert,1867
2020-01,adobe,3857
2020-01,intel,2021
2020-01,Chrome,2148
2020-01,talos,1193
2020-01,snyk,341
2020-01,jenkins,574
2020-01,zdi,700
2020-01,sap,485
2020-01,huawei,909
2020-01,AMD,198
2020-01,hackerone,939
2020-01,apache,690
2020-01,jpcert,1725
2020-01,mozilla,1375
2020-01,siemens,432
2020-01,hpe,736
2020-01,f5,402
2020-01,GitLab,117
2020-01,schneider,311
2020-01,dell,993
2020-01,lenovo,300
2020-01,pivotal,150
2020-01,Eaton,97
2020-01,tenable,244
2020-01,trellix,250
2020-01,Wordfence,118
2020-01,juniper,403
2020-01,VulDB,688
2020-01,krcert,130
2020-01,palo_alto,132
2020-01,trendmicro,205
2020-01,Bitdefender,80
2020-01,atlassian,268
2020-01,vmware,299
2020-01,Mend,60
2020-01,twcert,87
2020-01,nvidia,301
2020-01,zte,97
2020-01,HCL,61
2020-01,Teradici,46
2020-01,fortinet,180
2020-01,SWI,41
2020-01,ABB,66
2020-01,zephyr,60
2020-01,canonical,311
2020-01,facebook,96
2020-01,Xiaomi,36
2020-01,CERTVDE,43
2020-01,freebsd,142
2020-01,microfocus,457
2020-01,Google,33
2020-01,openEuler,30
2020-01,certcc,3162
2020-01,Alias,29
2020-01,rapid7,132
2020-01,qnap,99
2020-01,netapp,98
2020-01,symantec,313
2020-01,Gallagher,20
2020-01,suse,50
2020-01,brocade,61
2020-01,sonicwall,37
2020-01,kubernetes,52
2020-01,Linux,20
2020-01,bosch,26
2020-01,checkpoint,71
2020-01,drupal,42
2020-01,Kaspersky,124
2020-01,debian,777
2020-01,OTRS,15
2020-01,isc,81
2020-01,SICK AG,15
2020-01,ca,56
2020-01,elastic,98
2020-01,Go,21
2020-01,tibco,85
2020-01,Secomea,13
2020-01,synology,120
2020-01,php,30
2020-01,VDOO,11
2020-01,jci,15
2020-01,avaya,49
2020-01,eclipse,70
2020-01,hp,774
