date,name,value
2021-01,ForgeRock,1
2022-01,ForgeRock,5
2023-01,ForgeRock,9
2024-01,Fortra,19
2025-01,Fortra,21
2022-01,GE GP,2
2023-01,GE GP,3
2024-01,GEHC,9
2025-01,GE_Vernova,1
2023-01,GRAFANA,14
2024-01,GRAFANA,26
2025-01,GRAFANA,32
2020-01,Gallagher,20
2021-01,Gallagher,33
2022-01,Gallagher,35
2023-01,Gallagher,48
2024-01,Gallagher,63
2025-01,Gallagher,66
2023-01,GandC,13
2024-01,GandC,23
2025-01,GandC,25
2023-01,Genetec,1
2024-01,Genetec,2
2019-01,GitHub_M,132
2020-01,GitHub_M,667
2021-01,GitHub_M,1776
2022-01,GitHub_M,3079
2023-01,GitHub_M,4873
2024-01,GitHub_M,6994
2025-01,GitHub_M,8210
2020-01,GitHub_P,4
2021-01,GitHub_P,16
2022-01,GitHub_P,28
2023-01,GitHub_P,52
2024-01,GitHub_P,92
2025-01,GitHub_P,97
2020-01,GitLab,117
2021-01,GitLab,306
2022-01,GitLab,524
2023-01,GitLab,717
2024-01,GitLab,899
2025-01,GitLab,958
2024-01,Gitea,1
2015-01,Go,1
2016-01,Go,2
2017-01,Go,3
2018-01,Go,4
2019-01,Go,6
2020-01,Go,19
2021-01,Go,23
2022-01,Go,59
2023-01,Go,97
2024-01,Go,116
2025-01,Go,127
2020-01,Google,33
2021-01,Google,59
2022-01,Google,106
2023-01,Google,171
2024-01,Google,207
2025-01,Google,220
2023-01,Google_Devices,33
2024-01,Google_Devices,210
2025-01,Google_Devices,212
2021-01,GovTech CSG,10
2022-01,GovTech CSG,14
2023-01,GovTech CSG,16
2024-01,GovTech CSG,18
2025-01,GovTech CSG,36
2023-01,GreenRocketSecurity,1
2024-01,Gridware,2
2025-01,Gridware,10
2017-01,HCL,2
2019-01,HCL,13
2020-01,HCL,61
2021-01,HCL,95
2022-01,HCL,137
2023-01,HCL,226
2024-01,HCL,318
2025-01,HCL,326
2021-01,HITVAN,3
2022-01,HITVAN,18
2023-01,HITVAN,24
2024-01,HITVAN,37
2025-01,HITVAN,45
2022-01,HW,10
2023-01,HW,11
2022-01,HYPR,4
2023-01,HYPR,11
2024-01,HYPR,13
2025-01,HYPR,15
2023-01,Halborn,3
2023-01,Hanwha_Vision,6
2024-01,Hanwha_Vision,12
2022-01,HashiCorp,3
2023-01,HashiCorp,32
2024-01,HashiCorp,56
2025-01,HashiCorp,65
2024-01,HeroDevs,9
2025-01,HeroDevs,15
2024-01,HiddenLayer,39
2025-01,HiddenLayer,42
2023-01,Hillstone,1
2024-01,Hillstone,2
2025-01,Hillstone,3
2020-01,Hitachi,4
2021-01,Hitachi,5
2022-01,Hitachi,18
2023-01,Hitachi,34
2024-01,Hitachi,49
2025-01,Hitachi,56
2021-01,Hitachi Energy,20
2022-01,Hitachi Energy,41
2023-01,Hitachi Energy,55
2024-01,Hitachi Energy,85
2025-01,Hitachi Energy,98
2022-01,Honeywell,3
2023-01,Honeywell,35
2024-01,Honeywell,37
2025-01,Honeywell,54
2023-01,Honor,30
2024-01,Honor,42
2025-01,Honor,45
2024-01,ICT,1
2023-01,IDEMIA,7
2021-01,INCD,9
2022-01,INCD,74
2023-01,INCD,146
2024-01,INCD,219
2025-01,INCD,229
2017-01,INCIBE,1
2020-01,INCIBE,8
2021-01,INCIBE,33
2022-01,INCIBE,84
2023-01,INCIBE,227
2024-01,INCIBE,548
2025-01,INCIBE,706
2023-01,Illumio,1
2025-01,Insyde,2
2024-01,JAMF,2
2021-01,JFROG,42
2022-01,JFROG,51
2023-01,JFROG,62
2024-01,JFROG,87
2025-01,JFROG,96
2022-01,JetBrains,61
2023-01,JetBrains,99
2024-01,JetBrains,202
2025-01,JetBrains,238
2020-01,Joomla,7
2021-01,Joomla,57
2022-01,Joomla,73
2023-01,Joomla,104
2024-01,Joomla,128
2025-01,Joomla,152
2022-01,KNIME,2
2023-01,KNIME,10
2024-01,KNIME,11
2025-01,KNIME,14
2017-01,Kaspersky,9
2018-01,Kaspersky,62
2019-01,Kaspersky,108
2020-01,Kaspersky,124
2021-01,Kaspersky,128
2022-01,Kaspersky,130
2023-01,Kaspersky,144
2024-01,Kaspersky,151
2025-01,Kong,1
2024-01,KoreLogic,10
2025-01,KoreLogic,13
2022-01,LGE,6
2023-01,LGE,19
2024-01,LGE,27
2021-01,LINE,5
2022-01,LINE,8
2023-01,LINE,9
2024-01,LINE,10
2024-01,LY-Corporation,2
2023-01,Lexmark,7
2024-01,Lexmark,11
2025-01,Lexmark,13
2023-01,Liferay,34
2024-01,Liferay,66
2025-01,Liferay,73
2019-01,Linux,3
2020-01,Linux,20
2021-01,Linux,775
2022-01,Linux,2360
2023-01,Linux,2994
2024-01,Linux,6154
2025-01,Linux,7319
2022-01,Logitech,2
2024-01,Logitech,6
2021-01,M-Files Corporation,4
2022-01,M-Files Corporation,12
2023-01,M-Files Corporation,30
2024-01,M-Files Corporation,41
2025-01,M-Files Corporation,49
2023-01,MIM,1
2025-01,MIM,2
2025-01,MON-CSIRT,1
2023-01,ManageEngine,6
2024-01,ManageEngine,56
2025-01,ManageEngine,57
2023-01,Mandiant,4
2024-01,Mandiant,8
2025-01,Mandiant,10
2020-01,Mattermost,3
2021-01,Mattermost,12
2022-01,Mattermost,33
2023-01,Mattermost,120
2024-01,Mattermost,212
2025-01,Mattermost,269
2021-01,Mautic,10
2022-01,Mautic,19
2024-01,Mautic,27
2025-01,Mautic,30
2021-01,MediaTek,6
2022-01,MediaTek,275
2023-01,MediaTek,583
2024-01,MediaTek,730
2025-01,MediaTek,793
2022-01,Medtronic,1
2023-01,Medtronic,3
2020-01,Mend,60
2021-01,Mend,140
2022-01,Mend,196
2024-01,Microchip,11
2024-01,Milestone,2
2025-01,Milestone,3
2021-01,Mirantis,3
2022-01,Mirantis,5
2021-01,Mitsubishi,28
2022-01,Mitsubishi,70
2023-01,Mitsubishi,94
2024-01,Mitsubishi,111
2025-01,Mitsubishi,118
2023-01,Moxa,30
2024-01,Moxa,49
2025-01,Moxa,52
2024-01,N-able,4
2024-01,NCSC-FI,1
2025-01,NCSC-FI,7
2022-01,NCSC-NL,12
2023-01,NCSC-NL,28
2021-01,NCSC.ch,20
2022-01,NCSC.ch,30
2023-01,NCSC.ch,48
2024-01,NCSC.ch,74
2025-01,NCSC.ch,92
2021-01,NEC,11
2022-01,NEC,16
2023-01,NEC,28
2024-01,NEC,45
2025-01,NEC,48
2023-01,NI,3
2024-01,NI,30
2025-01,NI,39
2022-01,NLOK,6
2023-01,NLOK,11
2024-01,NLOK,24
2025-01,NLOK,25
2020-01,NLnet Labs,1
